id,item_code,item_name,category,sku_prefix,unit_of_measure,unit_cost,unit_price,quantity_on_hand,reorder_level,is_active,currency,created_at
ad1a7ae7-5020-4e50-96cd-992c96ddbd57,ITM-0001,Steel Sheets,Raw Materials,SHT,Pack,49824.08,72062.46,226,56,True,NGN,2024-01-01 00:00:00
9e5b934f-aa81-4c0f-8d69-2dab275bdcc9,ITM-0002,Copper Wire,Raw Materials,COP,Unit,54190.6,74460.08,355,88,True,NGN,2024-01-01 00:00:00
66974d41-f881-4f2b-91be-3812f0f50e4c,ITM-0003,Aluminum Rods,Raw Materials,ALU,Box,28282.17,42881.66,431,107,True,NGN,2024-01-01 00:00:00
9e79be59-8d62-48f7-aefa-cbf16232cf48,ITM-0004,PVC Pipes,Raw Materials,PVC,Roll,14151.84,20461.43,458,114,True,NGN,2024-01-01 00:00:00
2b688057-2ad2-42f5-9011-000a2a98adc5,ITM-0005,Cement,Raw Materials,CEM,Piece,5691.1,8395.64,221,55,True,NGN,2024-01-01 00:00:00
a90c07b5-63ee-47f4-b1cd-4126e335950f,ITM-0006,Wood Planks,Raw Materials,WOD,Set,21834.38,34376.0,319,79,True,NGN,2024-01-01 00:00:00
11bbd009-fc98-4733-80fe-dd7767b7beaf,ITM-0007,Glass Panels,Raw Materials,GLS,Unit,25379.8,36049.64,25,6,True,NGN,2024-01-01 00:00:00
12c19195-59af-4a91-aeb7-f0ef4f664b83,ITM-0008,Rubber Seals,Raw Materials,RUB,Pack,4708.72,6758.94,119,29,True,NGN,2024-01-01 00:00:00
6a358237-1470-4595-a111-10e74d471f82,ITM-0009,Industrial Generator 50kVA,Finished Goods,GEN,Unit,3872473.07,5080792.63,258,64,True,NGN,2024-01-01 00:00:00
dd82dd6a-ccb9-4d8b-8105-49d9e3e88170,ITM-0010,Solar Panel 300W,Finished Goods,SOL,Roll,231842.75,338460.53,153,38,True,NGN,2024-01-01 00:00:00
67f3b62b-71f2-43d7-b22e-0ca57db795e1,ITM-0011,Transformer 500kVA,Finished Goods,TRF,Box,11061488.63,17840887.9,249,62,True,NGN,2024-01-01 00:00:00
446c5384-9baa-4e3c-b11a-7f11ba582acd,ITM-0012,Electric Motor 5HP,Finished Goods,MOT,Box,394581.96,513396.86,467,116,True,NGN,2024-01-01 00:00:00
1945c600-521c-49ad-96d9-54472e5b76b5,ITM-0013,Cable Tray Set,Finished Goods,CBL,Unit,87076.9,127065.82,156,39,True,NGN,2024-01-01 00:00:00
9558b0ac-8625-490b-a12a-b58f77f623fb,ITM-0014,Distribution Board,Finished Goods,DST,Unit,126204.68,161619.35,28,7,True,NGN,2024-01-01 00:00:00
08f89347-5501-4713-8dbc-24e5c72d9c5c,ITM-0015,UPS System 3kVA,Finished Goods,UPS,Roll,493052.87,700118.02,53,13,True,NGN,2024-01-01 00:00:00
eacc84b1-be15-40fe-849e-0e9b2eef4512,ITM-0016,LED Light Panel,Finished Goods,LED,Box,28217.11,41687.71,134,33,True,NGN,2024-01-01 00:00:00
d1a06e5c-6d71-4944-80b5-71ccbc399992,ITM-0017,Control Panel Assembly,Finished Goods,CPA,Piece,978402.14,1255004.08,262,65,True,NGN,2024-01-01 00:00:00
3db1bf55-9ebd-4358-81c8-28d2b2bd6041,ITM-0018,Switchgear Unit,Finished Goods,SWG,Set,2227870.98,3374403.18,96,24,True,NGN,2024-01-01 00:00:00
995da2f5-ef48-4b46-8044-880a41cd6fbc,ITM-0019,Printer Paper A4,Office Supplies,PPR,Pack,5607.27,7110.6,218,54,True,NGN,2024-01-01 00:00:00
3bd59515-6f8e-4fe3-95ee-2dc9a7195e3b,ITM-0020,Toner Cartridge,Office Supplies,TNR,Pack,30952.95,45961.52,237,59,True,NGN,2024-01-01 00:00:00
a4e2b4d3-a350-400f-b205-4919dd57df55,ITM-0021,Whiteboard Marker Set,Office Supplies,MKR,Set,2899.9,4561.93,179,44,True,NGN,2024-01-01 00:00:00
721da05d-f143-4175-9fa8-67763f701bfc,ITM-0022,Stapler Heavy Duty,Office Supplies,STP,Box,3633.21,4655.19,314,78,True,NGN,2024-01-01 00:00:00
6e7fe3d5-f7be-4429-b29b-3c6d81df3080,ITM-0023,File Folders Box,Office Supplies,FLD,Piece,9358.08,12095.62,278,69,True,NGN,2024-01-01 00:00:00
1b189697-525e-4690-972d-446b691a75dd,ITM-0024,Laptop Dell Latitude,IT Equipment,LPT,Pack,351754.12,456109.47,12,5,True,NGN,2024-01-01 00:00:00
43ce29da-34f7-4c59-9737-e4331116b04a,ITM-0025,Desktop Monitor 27in,IT Equipment,MON,Pack,182025.58,277902.55,44,11,True,NGN,2024-01-01 00:00:00
32e1050d-e9db-4baa-ae30-ed8b9b1d4084,ITM-0026,Network Switch 24-port,IT Equipment,NSW,Unit,270377.49,390611.38,41,10,True,NGN,2024-01-01 00:00:00
e8d51b45-9c55-44c0-bb20-b027eb684c10,ITM-0027,Server Rack Mount,IT Equipment,SRV,Pack,3401821.96,5169140.78,46,11,True,NGN,2024-01-01 00:00:00
838ea1fc-c069-4954-9093-544f7e6d50b9,ITM-0028,External Hard Drive 2TB,IT Equipment,HDD,Set,36849.92,50523.55,10,5,True,NGN,2024-01-01 00:00:00
591fe981-6a91-44ce-ba7e-b788c16d6732,ITM-0029,Bearing Assembly,Spare Parts,BRG,Pack,8166.51,10573.71,13,5,True,NGN,2024-01-01 00:00:00
619ee810-baaf-46ca-9cd0-c80d29545d05,ITM-0030,Hydraulic Pump,Spare Parts,HYD,Roll,344104.07,548365.9,112,28,True,NGN,2024-01-01 00:00:00
a01f14c2-abeb-44af-9d5b-6fe3c990cf20,ITM-0031,Filter Element,Spare Parts,FLT,Pack,11486.23,17343.01,228,57,True,NGN,2024-01-01 00:00:00
71d61c57-d696-4d75-8582-1b3c8ecf9690,ITM-0032,Gasket Set,Spare Parts,GSK,Box,7290.95,10684.4,49,12,True,NGN,2024-01-01 00:00:00
fbe7ef65-18fa-4322-94f3-58c2d1db0c30,ITM-0033,Drive Belt,Spare Parts,BLT,Piece,12927.49,16925.53,221,55,True,NGN,2024-01-01 00:00:00
