id,project_code,project_name,department,project_manager_id,start_date,end_date,budget,actual_cost,completion_percentage,status,currency,created_at
a9f7f2f8-ed4e-42dd-add2-a9e098bd0df4,PRJ-001,Lagos Factory Expansion,Operations,ad9a51d1-16f4-47bc-a4ce-ce1bc670a73d,2024-10-07,2025-07-16,140772095.92,46928536.42,16,In Progress,NGN,2026-02-23 10:54:52.259406
430d8521-2e5b-4f3b-ac64-531406a5d45c,PRJ-002,ERP System Implementation,Sales,579d0881-5786-4f06-ade1-c3d7a87b9b21,2024-02-20,2024-07-03,57561671.01,28868313.79,99,Completed,NGN,2026-02-23 10:54:52.259597
ddb2a61f-257f-4fb4-9228-c12cf029655f,PRJ-003,Solar Farm Installation,IT,b8de5a6c-44c0-49f6-bdbd-365c949577ba,2024-06-14,2024-10-17,41121402.98,13389246.58,81,Completed,NGN,2026-02-23 10:54:52.259663
3dc7ecfc-0d74-42fa-9b2d-bcd8089bb2a4,PRJ-004,Office Renovation Phase 2,Marketing,39298160-e0b1-4374-b99c-417eb5ad876d,2024-07-06,2024-12-30,91462369.34,0,0,On Hold,NGN,2026-02-23 10:54:52.259824
9b9fec88-da64-474a-b468-4e4a2047eae7,PRJ-005,Abuja Warehouse Construction,Marketing,9a77a6cf-19e3-4b33-9fbb-d6d9e1705e3d,2024-04-24,2025-01-16,114251654.2,66466414.08,19,In Progress,NGN,2026-02-23 10:54:52.259838
9f0953c3-d5aa-4969-a4c8-cd05e91c2771,PRJ-006,IT Infrastructure Upgrade,Operations,f425c095-0e0b-427a-9a01-773901b2fe8b,2024-08-14,2024-12-12,105691449.13,99275358.08,73,In Progress,NGN,2026-02-23 10:54:52.259966
9725e568-4e84-42ba-8616-e17944ca9de8,PRJ-007,Product Line R&D,Executive,1978e8ba-f74b-4dd7-a07f-9a02c99f5c62,2025-01-02,2025-11-28,96466906.79,87637508.21,91,Completed,NGN,2026-02-23 10:54:52.260081
af0a4b91-5588-42a6-b2cf-398560971134,PRJ-008,Marketing Campaign Q1,IT,3764b56f-3d0a-4565-8979-4fad3b46458a,2025-04-24,2026-03-21,125401060.38,0,0,On Hold,NGN,2026-02-23 10:54:52.260272
f4f9ba75-0721-458e-92db-385b64eb5208,PRJ-009,ISO Certification Project,Operations,edbb45c5-189f-4783-80a1-1d21a949775a,2024-06-08,2024-09-16,47082787.59,48599073.13,29,In Progress,NGN,2026-02-23 10:54:52.260285
a2b931e8-dc83-430a-bb7c-62c366094ac5,PRJ-010,Fleet Management System,Operations,5ce9980c-4e5c-498b-bf4a-d91ca3bc9b05,2024-09-11,2024-12-01,132328791.67,119411807.12,77,Completed,NGN,2026-02-23 10:54:52.260551
adf4e5ea-6d8a-4521-9891-dce91bca7027,PRJ-011,Cybersecurity Enhancement,Finance,04539a60-7c26-4abb-8a12-368f57142cb7,2025-06-01,2026-01-11,114965796.88,88887618.24,14,In Progress,NGN,2026-02-23 10:54:52.260787
2c1388af-a36b-4f19-871e-54ff57e4a027,PRJ-012,Customer Portal Development,Executive,d5d19a53-f0eb-4480-a58c-2924460368da,2025-01-23,2025-04-13,104054718.48,61024556.83,97,Completed,NGN,2026-02-23 10:54:52.260996
a8647af5-2647-4884-85ab-d3bd3eb7eb17,PRJ-013,Staff Training Program 2024,Finance,0301d27b-3b23-40d2-816d-59fda9b9bed3,2025-01-18,2025-08-05,103804557.06,103175409.74,81,In Progress,NGN,2026-02-23 10:54:52.261116
db7a4f46-7b58-4ad5-a81a-e5d657450768,PRJ-014,Quality Assurance Overhaul,IT,66dfa22d-9ac6-4646-b380-b10d730619c6,2024-02-26,2024-06-27,30185553.11,16216161.42,69,In Progress,NGN,2026-02-23 10:54:52.261239
c1ccdca0-1082-49b5-adef-acc34331698e,PRJ-015,Supply Chain Optimization,HR,f4675ba3-f087-4281-b69d-adbce3006b06,2024-01-09,2024-12-16,51360823.85,30813111.5,81,In Progress,NGN,2026-02-23 10:54:52.261440
ae074d19-99ff-4a4d-a9bf-f33446f43f5d,PRJ-016,New Product Launch - GenX,Sales,cedf4efe-8ee6-44f7-a395-15c179414c14,2025-03-22,2025-09-11,65205847.72,19994113.73,76,In Progress,NGN,2026-02-23 10:54:52.261628
a50368c8-dce9-4a75-ad23-93670c79904c,PRJ-017,Corporate Rebranding,Legal,ad9a51d1-16f4-47bc-a4ce-ce1bc670a73d,2024-11-16,2025-09-22,126459472.42,0,0,Planning,NGN,2026-02-23 10:54:52.261753
bdc75bc2-27ab-4298-8cfa-f7455e58b25f,PRJ-018,Environmental Compliance Upgrade,Finance,2a220a53-4c79-4db1-87c1-80ad25938711,2024-10-31,2025-05-10,64198038.04,45408550.72,49,In Progress,NGN,2026-02-23 10:54:52.261767
