id,vendor_code,company_name,contact_first_name,contact_last_name,email,phone,city,state,country,category,rating,payment_terms_days,status,currency,created_at
7c259094-a60a-499e-add2-82f9de402308,VEN-0001,Pinnacle Trading,Ngozi,Fashola,info@pinnacletrading.com.ng,+2347922985251,Benin City,Edo,Nigeria,Logistics,3.5,45,Active,NGN,2024-05-03
e93b5b44-3e5b-4c8e-9bc0-a92d905eab15,VEN-0002,Pinnacle Solutions,Musa,Udoh,info@pinnaclesolutio.com.ng,+2348051376582,Warri,Lagos,Nigeria,Logistics,2.6,30,Active,NGN,2024-06-10
a88de2cf-4194-40a5-8fe5-d7509d174618,VEN-0003,Titan Trading,Funke,Fashola,info@titantrading.com.ng,+2347664020528,Abeokuta,Edo,Nigeria,Packaging,4.9,15,Active,NGN,2024-01-22
10cbeaf1-b9f9-439c-a6c9-f177e2240b07,VEN-0004,Coral Logistics,Ifeanyi,Fashola,info@corallogistics.com.ng,+2347567891524,Warri,Kano,Nigeria,Catering,2.9,30,Inactive,NGN,2024-06-17
be99ce47-790c-4162-923a-f62b52e4a702,VEN-0005,Heritage Services,Zainab,Emenike,info@heritageservice.com.ng,+2348162154992,Abeokuta,Delta,Nigeria,Logistics,3.4,30,Active,NGN,2024-01-05
b35bcef7-a9ac-4680-815b-9d677b4f3be9,VEN-0006,Emerald Services,Efe,Balogun,info@emeraldservices.com.ng,+2347382615622,Abuja,Abuja,Nigeria,IT Equipment,3.7,15,Active,NGN,2024-05-08
0b7bea33-5d84-4cea-99f5-5230d7f6d98a,VEN-0007,Crown Services,Kunle,Dikko,info@crownservices.com.ng,+2348541020136,Warri,Oyo,Nigeria,Maintenance,3.8,45,Active,NGN,2024-06-27
4183051f-2389-4a7a-8cfb-0522b171e130,VEN-0008,Sterling Industries,Ifeanyi,Adeleke,info@sterlingindustr.com.ng,+2348967396087,Kano,Edo,Nigeria,Utilities,4.0,15,Active,NGN,2024-02-04
77c04c4f-fbbf-4086-ac26-53e502240944,VEN-0009,Sterling Industries,Halima,Johnson,info@sterlingindustr.com.ng,+2348537855954,Abuja,Delta,Nigeria,Professional Services,3.0,15,Inactive,NGN,2024-05-13
8db60204-783f-41d2-ab72-5f5e58c3d740,VEN-0010,Zenith Logistics,Patience,Williams,info@zenithlogistics.com.ng,+2349056299951,Onitsha,Kano,Nigeria,Maintenance,3.4,30,Active,NGN,2024-06-15
238201f5-21d8-4353-8481-800f964650af,VEN-0011,Vanguard Industries,Mohammed,Nnamdi,info@vanguardindustr.com.ng,+2348447134489,Warri,Delta,Nigeria,Catering,3.2,60,Active,NGN,2024-04-15
2d180ac9-7d5e-4483-bab9-0c8571bf1357,VEN-0012,Crown Trading,Bola,Rufai,info@crowntrading.com.ng,+2348429116148,Abuja,Ogun,Nigeria,Professional Services,5.0,45,Active,NGN,2024-02-05
b55f6d95-eaaf-4c75-9e0a-c2c0769048af,VEN-0013,Alpha Industries,Musa,Danjuma,info@alphaindustries.com.ng,+2347549528589,Lagos,Abuja,Nigeria,Maintenance,4.5,15,Active,NGN,2024-04-09
fdc80963-68ef-4349-a847-c73e16c39c58,VEN-0014,Atlantic Logistics,Quadri,Nnamdi,info@atlanticlogisti.com.ng,+2347222075091,Ibadan,Oyo,Nigeria,Professional Services,3.1,15,Inactive,NGN,2024-01-10
9bb23b64-0462-4e16-a045-dc9cf6ab9e96,VEN-0015,Coral Services,Lola,Johnson,info@coralservices.com.ng,+2348821964069,Warri,Kano,Nigeria,IT Equipment,4.1,60,Active,NGN,2024-02-21
65e7643b-3fce-42f3-8d02-e4a11f08dda8,VEN-0016,Pinnacle Suppliers,Quadri,Quadri,info@pinnaclesupplie.com.ng,+2348324886793,Lagos,Rivers,Nigeria,Catering,2.9,15,Active,NGN,2024-03-02
d8556314-7372-4af8-b03e-7e70507fd12b,VEN-0017,Global Distributors,Dayo,Lawal,info@globaldistribut.com.ng,+2348717629401,Warri,Kano,Nigeria,Maintenance,4.0,15,Active,NGN,2024-01-24
8e80bca6-b4c8-48a3-9258-0e412a752775,VEN-0018,Pacific Solutions,Aisha,Lawal,info@pacificsolution.com.ng,+2349085639031,Onitsha,Lagos,Nigeria,Logistics,4.0,30,Active,NGN,2024-04-13
fdbd4ff1-8cd6-4017-b064-79c39952479f,VEN-0019,Vanguard Trading,Efe,Quadri,info@vanguardtrading.com.ng,+2347272214435,Warri,Anambra,Nigeria,Packaging,3.2,15,Active,NGN,2024-03-06
4cb7f1f1-a60b-4c38-afbc-2662fc6b4bf0,VEN-0020,Vanguard Services,Grace,Madu,info@vanguardservice.com.ng,+2348449113963,Lagos,Edo,Nigeria,Logistics,4.4,60,Active,NGN,2024-05-30
